
    UPC,DESCRIPTION,ROUTE,DISTRICT,ROAD SYSTEM,JURISDICTION,ESTIMATE,PE_ESTIMATE,RW_ESTIMATE,CN_ESTIMATE,PREVIOUS,Y1,Y2,Y3,Y4,Y5,Y6,Y2-6,BALANCE
    -1849, Outstanding Cost for TMS Consultant Inspections , , Hampton Roads, Interstate, , 1000.000000, 1000.000000, 0.000000, 0.000000, 0.000000
-283, 511 Virginia - Travel Information, , Hampton Roads, Interstate, , 2100.000000, 300.000000, 300.000000, 1500.000000, 0.000000
52305, RTE 264(44) - SURFACE REPAIR &amp; REHABILITATION OF ROADWAY,  264, Hampton Roads, Interstate, Virginia Beach, 11500.000000, 0.000000, 0.000000, 11500.000000, 0.000000
16843, RUMBLE STRIPS, 000 , Hampton Roads, Interstate, , 578.387000, 278.387000, 100.000000, 200.000000, 0.000000
70615, HAMPTON ROADS INTERSTATE DISTRICTWIDE GUARDRAIL, 000 , Hampton Roads, Interstate, Hampton Roads District-wide, 1556.000000, 306.000000, 0.000000, 1250.000000, 0.000000
70618, HAMPTON ROADS INTERSTATE DISTRICTWIDE SIGNS, 000 , Hampton Roads, Interstate, Hampton Roads District-wide, 4230.256000, 242.256000, 388.000000, 3600.000000, 0.000000
2058, RTE 64 - CONSTRUCT INTERCHANGE, 0064, Hampton Roads, Interstate, James City County, 48510.579000, 47638.000000, 873.000000, 0.000000, -0.421000
4464, RTE 64 - WIDEN TO 6 LANES WITH HOV LANES, 0064, Hampton Roads, Interstate, Chesapeake, 38059.021000, 35338.000000, 2721.000000, 0.000000, 0.021000
12379, RTE 64 - WIDENING TO 6 LANES WITH HOV LANES, 0064, Hampton Roads, Interstate, Chesapeake, 86396.400000, 47855.000000, 0.000000, 38541.000000, 0.400000
12827, RTE 64 - BRIDGE DECK REHABILITATION, 0064, Hampton Roads, Interstate, Hampton, 34747.412000, 28173.000000, 2141.000000, 4433.000000, 0.412000
12834, RTE 64 - (PARTIAL PE ONLY IN SYP), 0064, Hampton Roads, Interstate, Hampton, 14147.000000, 11147.000000, 0.000000, 0.000000, 3000.000000
13272, 179734 - EXTENSION OF TRAFFIC MANAGEMENT SYSTEM, 0064, Hampton Roads, Interstate, Norfolk, 5457.408000, 5577.000000, 0.000000, 0.000000, -119.592000
15128, RTE 64 - WIDEN FROM 4 TO 6 LANES W/NOISE ABATEMENT WALL, 0064, Hampton Roads, Interstate, Newport News, 64430.187000, 27314.000000, 0.000000, 37116.000000, 0.187000
16042, RTE 64 - TRAFFIC MANAGEMENT SYSTEM, 0064, Hampton Roads, Interstate, Hampton, 29556.281000, 17201.000000, 3829.000000, 11776.000000, -3249.719000
16043, RTE 64 - TRAFFIC MANAGEMENT SYSTEM, 0064, Hampton Roads, Interstate, Chesapeake, 8467.311000, 8967.000000, 0.000000, 0.000000, -499.689000
17368, RTE 64 - WIDEN FROM 6 TO 8 LANES, 0064, Hampton Roads, Interstate, Hampton, 122581.874000, 68627.000000, 0.000000, 53955.000000, -0.126000
17824, RTE 64 - RAMP IMPROVEMENT (PE ONLY), 0064, Hampton Roads, Interstate, Norfolk, 1134.000000, 790.000000, 344.000000, 0.000000, 0.000000
50125, RTE 64 - CONSTRUCT INTERCHANGE, 0064, Hampton Roads, Interstate, Newport News, 0.000000, 36391.000000, 0.000000, 0.000000, -36391.000000
57313, ROUTE 64 - WIDENING FROM 4 TO 6 LANES, 0064, Hampton Roads, Interstate, Newport News, 14177.000000, 4980.000000, 0.000000, 38054.000000, -28857.000000
57546, RTE 64 - KING CREEK RESTORATION, 0064, Hampton Roads, Interstate, York County, 429.700000, 300.000000, 130.000000, 0.000000, -0.300000
57580, ROUTE 64 - WIDEN FROM 4 TO 8 LANES WITH PEAK HOV, 0064, Hampton Roads, Interstate, Hampton Roads District-wide, 8856.754000, 3500.000000, 0.000000, 0.000000, 5356.754000
62854, ROUTE 64 - VARIABLE MESSAGE SIGNS, 0064, Hampton Roads, Interstate, Chesapeake, 1000.000000, 1000.000000, 0.000000, 0.000000, 0.000000
67912, ROUTE 64 - PAVEMENT REHABILITATION AT SELECTED LOCATIONS, 0064, Hampton Roads, Interstate, James City County, 24467.000000, 8686.000000, 6314.000000, 0.000000, 9467.000000
71598, AREA TUNNEL IMPROVEMENTS, 0064, Hampton Roads, Interstate, Hampton Roads District-wide, 0.000000, 0.000000, 2000.000000, 2500.000000, -4500.000000
17823, RTE 95 - REPAVING, 0095, Hampton Roads, Interstate, Greensville County, 27263.805000, 13116.000000, 3464.000000, 10684.000000, -0.195000
