
    UPC,DESCRIPTION,ROUTE,DISTRICT,ROAD SYSTEM,JURISDICTION,ESTIMATE,PE_ESTIMATE,RW_ESTIMATE,CN_ESTIMATE,PREVIOUS,Y1,Y2,Y3,Y4,Y5,Y6,Y2-6,BALANCE
    -1849, OUTSTANDING COST FOR TMS CONSULTANT INSPECTION UPC'S 13745, 13744, 9032, , Hampton Roads, Interstate, Hampton Roads District-wide, 1000.000000, 1000.000000, 0.000000, 0.000000, 0.000000
-283, 511 VIRGINIA - TRAVEL INFORMATION, , Hampton Roads, Interstate, Hampton Roads District-wide, 2400.000000, 600.000000, 300.000000, 1500.000000, 0.000000
16843, RUMBLE STRIPS, , Hampton Roads, Interstate, Hampton Roads District-wide, 678.387000, 378.387000, 100.000000, 200.000000, 0.000000
70615, HAMPTON ROADS INTERSTATE DISTRICTWIDE GUARDRAIL, , Hampton Roads, Interstate, Hampton Roads District-wide, 1806.000000, 306.000000, 250.000000, 1250.000000, 0.000000
70618, HAMPTON ROADS INTERSTATE DISTRICTWIDE SIGNS, , Hampton Roads, Interstate, Hampton Roads District-wide, 493.971000, 824.236000, 722.000000, 3825.000000, -4877.265000
70665, HAMPTON ROADS INTERSTATE DISTRICTWIDE ITS, , Hampton Roads, Interstate, Hampton Roads District-wide, 3000.000000, 0.000000, 500.000000, 2500.000000, 0.000000
52305, RTE 264(44) - SURFACE REPAIR &amp; REHABILITATION OF ROADWAY,  264, Hampton Roads, Interstate, Virginia Beach, 11500.000000, 0.000000, 1000.000000, 10500.000000, 0.000000
2058, RTE 64 - CONSTRUCT INTERCHANGE, 0064, Hampton Roads, Interstate, James City County, 48650.563000, 48650.312000, 0.000000, 0.000000, 0.251000
4464, RTE 64 - WIDEN TO 6 LANES WITH HOV LANES, 0064, Hampton Roads, Interstate, Chesapeake, 38059.021000, 38059.021000, 0.000000, 0.000000, 0.000000
12379, RTE 64 - WIDENING TO 6 LANES WITH HOV LANES, 0064, Hampton Roads, Interstate, Chesapeake, 97882.200000, 47612.948000, 15938.858000, 34330.395000, -0.001000
12827, RTE 64 - BRIDGE DECK REHABILITATION, 0064, Hampton Roads, Interstate, Hampton, 34747.412000, 30314.000000, 4433.412000, 0.000000, 0.000000
12834, RTE 64 - (PE ONLY), 0064, Hampton Roads, Interstate, Hampton, 14147.000000, 11147.000000, 3000.000000, 0.000000, 0.000000
13272, EXTENSION OF TRAFFIC MANAGEMENT SYSTEM, 0064, Hampton Roads, Interstate, Norfolk, 4821.075000, 5223.648000, 0.000000, 0.000000, -402.573000
15128, RTE 64 - WIDEN FROM 4 TO 6 LANES W/NOISE ABATEMENT WALL, 0064, Hampton Roads, Interstate, Newport News, 64327.703000, 27314.000000, 37013.685000, 0.000000, 0.018000
16042, RTE 64 - TRAFFIC MANAGEMENT SYSTEM, 0064, Hampton Roads, Interstate, Hampton, 29556.281000, 21030.000000, 8526.281000, 0.000000, 0.000000
16043, RTE 64 - TRAFFIC MANAGEMENT SYSTEM, 0064, Hampton Roads, Interstate, Chesapeake, 9082.848000, 8967.000000, 115.848000, 0.000000, 0.000000
17368, RTE 64 - WIDEN FROM 6 TO 8 LANES, 0064, Hampton Roads, Interstate, Hampton, 131666.372000, 68627.000000, 63039.372000, 0.000000, 0.000000
17824, RTE 64 - RAMP IMPROVEMENT (PE ONLY), 0064, Hampton Roads, Interstate, Norfolk, 1134.000000, 1134.000000, 0.000000, 0.000000, 0.000000
