
    UPC,DESCRIPTION,ROUTE,DISTRICT,ROAD SYSTEM,JURISDICTION,ESTIMATE,PE_ESTIMATE,RW_ESTIMATE,CN_ESTIMATE,PREVIOUS,Y1,Y2,Y3,Y4,Y5,Y6,Y2-6,BALANCE
    -283, 511 Virginia - Travel Information, , Hampton Roads, Interstate, , 1500.000000, 0.000000, 300.000000, 1200.000000, 0.000000
16843, Rumble Strips, , Hampton Roads, Interstate, , 272.884000, 272.884000, 0.000000, 0.000000, 0.000000
70615, Guardrail, , Hampton Roads, Interstate, , 1450.000000, 0.000000, 200.000000, 1250.000000, 0.000000
70618, New Signs, , Hampton Roads, Interstate, , 1300.000000, 0.000000, 300.000000, 1000.000000, 0.000000
52305, Surface Repair and Rehabilitation of Roadway,  264, Hampton Roads, Interstate, Virginia Beach, 11500.000000, 11500.000000, 0.000000, 0.000000, 0.000000
67912, Repaving, 0064, Hampton Roads, Interstate, James City County, 25545.000000, 0.000000, 8686.000000, 16859.000000, 0.000000
18433, Widen and Improve Intersection, 0264, Hampton Roads, Interstate, Portsmouth, 414.687000, 287.000000, 128.000000, 0.000000, -0.313000
2024, HOV Lanes, 264, Hampton Roads, Interstate, Norfolk, 58047.262000, 46220.000000, 0.000000, 11827.000000, 0.262000
13731, HOV Lanes, 264, Hampton Roads, Interstate, Norfolk, 13600.111000, 10805.000000, 0.000000, 2795.000000, 0.111000
13732, Bridge Widening and Necessary Roadwork, 264, Hampton Roads, Interstate, Norfolk, 17616.826000, 17569.000000, 48.000000, 0.000000, -0.174000
13741, Traffic Management System, 264, Hampton Roads, Interstate, Norfolk, 1973.426000, 1117.000000, 856.000000, 0.000000, 0.426000
15791, HOV Lanes, 264, Hampton Roads, Interstate, Norfolk, 7345.000000, 1675.000000, 0.000000, 5670.000000, 0.000000
16045, Traffic Management System, 264, Hampton Roads, Interstate, , 19754.912000, 7856.000000, 1921.000000, 9978.000000, -0.088000
16218, Landscaping, 264, Hampton Roads, Interstate, Norfolk, 393.982000, 322.000000, 72.000000, 0.000000, -0.018000
17630, Interchange Improvement, 264, Hampton Roads, Interstate, Virginia Beach, 8900.000000, 3315.000000, 0.000000, 5585.000000, 0.000000
17822, Landscaping, 264, Hampton Roads, Interstate, Norfolk, 901.663000, 705.000000, 197.000000, 0.000000, -0.337000
18970, Interchange Improvement, 264, Hampton Roads, Interstate, Virginia Beach, 4751.000000, 3150.000000, 0.000000, 1601.000000, 0.000000
19005, Interchange Improvement, 264, Hampton Roads, Interstate, Virginia Beach, 5350.000000, 5350.000000, 0.000000, 0.000000, 0.000000
57048, Interchange Improvements - 64 WB Ramp to 264 EB, 264, Hampton Roads, Interstate, Norfolk, 15600.200000, 1000.000000, 0.000000, 14600.000000, 0.200000
16046, Traffic Management System, 464, Hampton Roads, Interstate, , 9299.294000, 4895.000000, 0.000000, 4404.000000, 0.294000
17821, Landscaping, 564, Hampton Roads, Interstate, Norfolk, 381.143000, 323.000000, 58.000000, 0.000000, 0.143000
2058, Construct Interchange, 64, Hampton Roads, Interstate, James City County, 45638.086000, 42023.000000, 3615.000000, 0.000000, 0.086000
4464, Widen to 6 Lanes plus HOV Lanes, 64, Hampton Roads, Interstate, Chesapeake, 37994.253000, 26305.000000, 4929.000000, 6760.000000, 0.253000
4466, Widen from 6 to 8 Lanes with Peak HOV Lanes, 64, Hampton Roads, Interstate, , 21523.181000, 17855.000000, 0.000000, 3668.000000, 0.181000
12379, Widening to 6 Lanes plus HOV Lanes, 64, Hampton Roads, Interstate, Chesapeake, 84835.052000, 51381.000000, 0.000000, 33454.000000, 0.052000
12402, Bridge Widening and Widen from 4 to 6 Lanes, 64, Hampton Roads, Interstate, Newport News, 19095.899000, 17900.000000, 1196.000000, 0.000000, -0.101000
12403, Widen from 4 to 6 Lanes Including Noise Abatement Wall, 64, Hampton Roads, Interstate, Newport News, 19693.851000, 15999.000000, 3695.000000, 0.000000, -0.149000
12827, Bridge Deck Rehabilitation, 64, Hampton Roads, Interstate, Hampton, 34702.599000, 28050.000000, 123.000000, 6530.000000, -0.401000
12834, 3rd Crossing , 64, Hampton Roads, Interstate, Hampton, 14147.170000, 14147.000000, 0.000000, 0.000000, 0.170000
13272, Traffic Management System, 64, Hampton Roads, Interstate, Norfolk, 6576.547000, 4563.000000, 2014.000000, 0.000000, -0.453000
15128, Widen from 4 to 6 Lanes Including Noise Abatement Wall, 64, Hampton Roads, Interstate, Newport News, 64420.510000, 27314.000000, 0.000000, 37107.000000, -0.490000
16042, Traffic Management System, 64, Hampton Roads, Interstate, , 29556.281000, 13951.000000, 0.000000, 15605.000000, 0.281000
16043, Traffic Management System, 64, Hampton Roads, Interstate, Chesapeake, 8467.311000, 8467.000000, 0.000000, 0.000000, 0.311000
17368, Widen from 6 to 8 Lanes with Peak HOV Lanes, 64, Hampton Roads, Interstate, Hampton, 83793.378000, 68627.000000, 0.000000, 15166.000000, 0.378000
17824, Ramp Improvement, 64, Hampton Roads, Interstate, Norfolk, 950.000000, 200.000000, 0.000000, 0.000000, 750.000000
17973, Landscaping, 64, Hampton Roads, Interstate, Norfolk, 803.428000, 744.000000, 59.000000, 0.000000, 0.428000
50125, Construct Interchange, 64, Hampton Roads, Interstate, Newport News, 0.000000, 36391.000000, 0.000000, 0.000000, -36391.000000
57313, Widen from 4 to 6 Lanes, 64, Hampton Roads, Interstate, Newport News, 13828.000000, 7083.000000, 0.000000, 43304.000000, -36559.000000
57546, King Creek Restoration, 64, Hampton Roads, Interstate, York County, 649.000000, 300.000000, 0.000000, 349.000000, 0.000000
57580, ROUTE 64 - WIDEN FROM 4 TO 8 LANES WITH PEAK HOV, 64, Hampton Roads, Interstate, , 8816.754000, 3500.000000, 0.000000, 0.000000, 5316.754000
62854, Variable Message Signs, 64, Hampton Roads, Interstate, Chesapeake, 1000.000000, 1000.000000, 0.000000, 0.000000, 0.000000
16047, Traffic Management System, 664, Hampton Roads, Interstate, , 8623.447000, 8624.000000, 0.000000, 0.000000, -0.553000
17823, Repaving, 95, Hampton Roads, Interstate, Greensville County, 27263.805000, 12625.000000, 0.000000, 14639.000000, -0.195000
18969, Area Tunnels Hurricane Preparedness (Midtown Tunnel, Hampton Roads Tunnel, Monitor Merrimac Tunnel), ATHP, Hampton Roads, Interstate, , 2209.244000, 2090.000000, 119.000000, 0.000000, 0.244000
18968, Intermodal Connector I-564 - Norfolk Naval Base/N.I.T., R000, Hampton Roads, Interstate, Norfolk, 27784.864000, 23209.000000, 1921.000000, 39480.000000, -36825.136000
59175, Construct Interchange, R000, Hampton Roads, Interstate, Norfolk, 1297.000000, 0.000000, 0.000000, 1297.000000, 0.000000
18190, SOFTWARE/HARDWARE DEVELOPMENT &amp; INTEGRATION, SHDI, Hampton Roads, Interstate, , 15000.000000, 14000.000000, 0.000000, 1000.000000, 0.000000
70465, Norfolk Harbor Deepening, , Hampton Roads, Miscellaneous, , 17475.000000, 17475.000000, 0.000000, 0.000000, 0.000000
70714, Additional CMAQ Funds to be Distributed by Local MPO, , Hampton Roads, Miscellaneous, , 45332.000000, 0.000000, 7201.000000, 38131.000000, 0.000000
70715, Additional STP Regional Funds to be Distributed by Local MPO, , Hampton Roads, Miscellaneous, , 124661.000000, 0.000000, 21493.000000, 103168.000000, 0.000000
70767, Bike Trails, , Hampton Roads, Miscellaneous, , 497.000000, 0.000000, 497.000000, 0.000000, 0.000000
50041, Bus Shelters, BS00, Hampton Roads, Miscellaneous, , 120.000000, 120.000000, 0.000000, 0.000000, 0.000000
63565, Emporia-Greensville Sidewalk Extension, EN02, Hampton Roads, Miscellaneous, Greensville County, 245.000000, 69.000000, 176.000000, 0.000000, 0.000000
63566, Washington Park Community Sidewalk, EN02, Hampton Roads, Miscellaneous, Greensville County, 134.000000, 71.000000, 63.000000, 0.000000, 0.000000
50651, HOV/Rideshare/SMART- Travel/Marketing &amp; Analysis, HOVM, Hampton Roads, Miscellaneous, , 443.756000, 4009.000000, 804.000000, 0.000000, -4369.244000
50519, Transportation Study, HPTS, Hampton Roads, Miscellaneous, Williamsburg, 329.000000, 329.000000, 0.000000, 0.000000, 0.000000
56775, SMART TRAFFIC CENTER, ITS0, Hampton Roads, Miscellaneous, , 600.000000, 300.000000, 0.000000, 0.000000, 300.000000
-959, Arterial Signal Upgrade (York), , Hampton Roads, Primary, , 600.000000, 0.000000, 600.000000, 0.000000, 0.000000
-955, Cary's Chapel/Yorktown Turn Lanes, , Hampton Roads, Primary, , 1415.000000, 0.000000, 1415.000000, 0.000000, 0.000000
4018, Stengthening and Widening, , Hampton Roads, Primary, , 5500.000000, 0.000000, 750.000000, 4750.000000, 0.000000
5620, State Traffic Operations &amp; Safety Improvement Program, , Hampton Roads, Primary, , 1800.000000, 0.000000, 300.000000, 1500.000000, 0.000000
69008, Beautification Improvements, , Hampton Roads, Primary, , 494.000000, 0.000000, 76.000000, 418.000000, 0.000000
70276, Virginia Beach Blvd/Newtown Road Int, , Hampton Roads, Primary, , 305.000000, 0.000000, 305.000000, 0.000000, 0.000000
70277, Commuter Parking, , Hampton Roads, Primary, , 500.000000, 0.000000, 500.000000, 0.000000, 0.000000
70619, Guardrail, , Hampton Roads, Primary, , 1000.000000, 0.000000, 200.000000, 800.000000, 0.000000
70620, Pavement Markers, , Hampton Roads, Primary, , 600.000000, 0.000000, 100.000000, 500.000000, 0.000000
70621, New Installations, , Hampton Roads, Primary, , 2700.000000, 0.000000, 600.000000, 2100.000000, 0.000000
70622, New Installations, , Hampton Roads, Primary, , 1200.000000, 0.000000, 200.000000, 1000.000000, 0.000000
70666, Technology, , Hampton Roads, Primary, , 1250.000000, 0.000000, 250.000000, 1000.000000, 0.000000
70765, George P. Coleman Bridge, , Hampton Roads, Primary, , 3350.156000, 1039.000000, 2311.156000, 0.000000, 0.000000
70766, Multi-Modal Lot, , Hampton Roads, Primary, , 40.000000, 40.000000, 0.000000, 0.000000, 0.000000
67637, Pedestrian Signals, Crosswalks &amp; Islands, 0005, Hampton Roads, Primary, James City County, 10.000000, 0.000000, 10.000000, 0.000000, 0.000000
52304, Intersection Improvement, 10, Hampton Roads, Primary, Surry County, 794.373000, 684.000000, 110.000000, 0.000000, 0.373000
56187, 2.3 Miles South Cedar Road -Route 190, 104, Hampton Roads, Primary, Chesapeake, 1500.000000, 1300.000000, 100.000000, 100.000000, 0.000000
13497, Widening from 2 to 4 Lanes, 105, Hampton Roads, Primary, , 4759.600000, 3787.000000, 0.000000, 973.000000, -0.400000
1869, 2-Lane Bridge and Approaches, 125, Hampton Roads, Primary, City of Suffolk, 4334.500000, 4284.000000, 0.000000, 51.000000, -0.500000
60560, Location Study, 125, Hampton Roads, Primary, City of Suffolk, 600.000000, 600.000000, 0.000000, 0.000000, 0.000000
52381, Arterial Signal System, 13, Hampton Roads, Primary, Suffolk, 52.000000, 58.000000, 0.000000, 0.000000, -6.000000
52521, Replace Warning Signs &amp; Install Left Turn Lane, 143, Hampton Roads, Primary, York County, 275.000000, 256.000000, 19.000000, 0.000000, 0.000000
52351, Arterial Signal System Upgrade, 17, Hampton Roads, Primary, , 601.000000, 601.000000, 0.000000, 0.000000, 0.000000
54868, 4 Lanes on New Location, 17, Hampton Roads, Primary, Chesapeake, 63918.625000, 64919.000000, 0.000000, 0.000000, -1000.375000
60843, Widen From 4 to 6 Lanes, 17, Hampton Roads, Primary, York County, 31356.581000, 17032.000000, 0.000000, 14325.000000, -0.419000
1896, Replace Structures on New Location, 175, Hampton Roads, Primary, Accomack County, 7499.200000, 14311.000000, 860.000000, 22878.000000, -30549.800000
9799, 4 Lanes on New Location, 199, Hampton Roads, Primary, James City County, 24761.860000, 9985.000000, 2780.000000, 11997.000000, -0.140000
65191, RTE 199 - JAMESTOWN CORRIDOR - PARALLEL LANE - (PPTA SEGMENT #1), 199, Hampton Roads, Primary, James City County, 12354.166000, 5695.000000, 5956.000000, 703.000000, 0.166000
